Day,Course,Stime,Etime,Link  
Mon,MA2020,755,850,MA2020
Mon,ME2201,855,950,ME2201
Mon,AM2530,955,1050,AM2530
Mon,AM2200,1055,1150,AM2200
"	","	","	","	","	"
Tue,ME2201,755,850,ME2201
Tue,AM2530,855,950,AM2530
Tue,AM2200,955,1050,AM2200
Tue,EE1100,1055,1150,EE1100
Tue,MA2020,1255,1350,MA2020
Tue,AM2540,1355,1640,AM2540
"	","	","	","	","	"
Wed,AM2530,755,850,AM2530
Wed,AM2200,855,950,AM2200
Wed,EE1100,955,1050,EE1100
Wed,ME2201,1255,1350,ME2201
"	","	","	","	","	"
Thu,EE1100,755,850,EE1100
Thu,MA2020,1055,1150,MA2020
Thu,AM2200,1255,1350,AM2200
"	","	","	","	","	"
Fri,MA2020,955,1050,MA2020
Fri,ME2201,1055,1150,ME2201
Fri,AM2530,1255,1350,AM2530
Fri,EE1100,1650,1740,EE1100
"	","	","	","	","	"
Sat,PH1030,1355,1600,PH1030
"	","	","	","	","	"
OTHER LINKS,"	","	","	","	"
LINK_TO_AM2530_SPREADSHEET,"	","	","	",L1
NPTEL_FLUIDS,"	","	","	",L2
CS2700_YT,"	","	","	",L3
ME1100_LEC,"	","	","	",L4
RAM2200,"	","	","	",L5
